Index,German,English
773,"das zeitalter, -",the age (historic)
774,"das zelt, -e",the tent
775,"das zentrum, die zentren",the centre
776,"das ziel, -e",the goal (not sports)
777,"das zimmer, -",the room
778,"das zimmermädchen, -",the chambermaid / hotel maid
779,"das zwischenspiel, -e",the interlude
780,dass,that
781,dauern,to take (time)
782,decken,to cover sth; to lay (a table)
783,defekt,defective; out of order
784,dein,your (inf.)
785,den abwasch machen,to do the dishes
786,den haushalt machen,to do household chores
787,den kopf schütteln,to shake one's head
788,den mund voll nehmen,to talk big
789,den teufel an die wand malen,"to look on the gloomy side,to expect the worst"
790,den tisch decken,to set the table
791,den wievielten haben wir heute?,what's the date today?
792,"denken, dachte, gedacht",to think
793,denkste.,that's what you think.
794,denn,because (coordinating conjunction)
795,"der abend, -e",the evening
796,"der abfall, -""e","the waste, the loss"
797,"der abfalleimer, -",the (small) rubbish bin
798,"der abflug, -""e",the departure (airplane)
799,"der abgeordneter, -","the delegate, the representative (male)"
800,"der absatz, -""e",the paragraph (1)
801,"der abschied, -e",the farewell
802,"der abschleppwagen, -",the tow truck
803,"der abteilungsleiter, -",the department manager
804,der abwasch,the dirty dishes; the washing up (no plural)
805,"der acker, -""",the (arable) field
806,"der adler, -",the eagle
807,"der adventskalender, -",the advent calendar
808,"der affe, -n, -n","the ape, the monkey"
809,"der agent, -en, -en",the agent
810,der alkohol,the alcohol (no plural)
811,"der albtraum, -""e",the nightmare
812,"der amerikaner, -",the american person
813,"der anfang, -""e",the beginning
814,"der angler, -",the fisher
815,"der anrufbeantworter, -",the answering machine
816,"der anteil, -e",the share (not financial)
817,"der blitzer, -",the speed camera (colloquial)
818,"der anzug, -""e",the suit (man's)
819,der apfel fällt nicht weit vom stamm.,the apple never falls far from the tree.
820,"der apfel, -""",the apple
821,"der apfelkuchen, -",the apple pie
822,"der apotheker, -","the pharmacist, the chemist"
823,"der apparat, -e","the appliance, the telephone, the apparatus"
824,der appetit,the appetite (no plural)
825,"der april, -e",april
826,"der arbeiter, -",the worker
827,"der arbeitgeber, -",the employer
828,"der arbeitnehmer, -","the employee (literally ""a work-taker"")"
829,"der arbeitskollege, -n, -n",the work colleague
830,"der arbeitsplatz, -""e",the place of work
831,"der arbeitsraum, -""e","the study, den (1)"
832,"der architekt, -en, -en",the architect
833,der ärger,"the annoyance, trouble, bother (no plural)"
834,"der arm, -e",the arm
835,"der ärmel, -",the sleeve
836,"der artikel, -","the article, the item"
837,"der arzt, -""e",the doctor (physician)
838,"der assistent, -en, -en",the assistant
839,"der athlet, -en, -en",the athlete
840,"der audi, -s",the audi
841,der aufenthalt,"the stop, the stay, the residence (no plural)"
842,"der aufsatz, -""e",the essay
843,"der auftrag, -""e",the order  (command or sales)
844,"der aufzug, -""e","the lift, the elevator"
845,"der augenblick, -e",the instant
846,"der august, -e",august
847,"der ausflug, -""e",the excursion
848,"der ausgang, -""e",the exit of a building
849,"der ausländer, -",the foreigner
850,"der ausschnitt, -e",the excerpt (1)
851,"der austauschschüler, -",the exchange student
852,"der auswanderer, -",the emigrant (1)
853,"der ausweis, -e","the identity card, pass, permit"
854,"der auszubildender, -",the apprentice (male) 1
855,"der auszug, -""e",the move; the excerpt (2)
856,"der automat, -en",the (vending) machine
857,"der automechaniker, -",the car mechanic
858,"der autor, -en",the author
859,"der autounfall, -""e",the car accident
860,"der azubi, -s","the trainee, apprentice (abbr. of auszubildende)"
861,"der babysitter, -",the babysitter
862,"der bach, -""e",the stream
863,"der bäcker, -",the baker
864,"der backofen, -""",the oven
865,"der backstein, -e",the brick
866,"der badeanzug, -""e",the bathing suit
867,"der bahnhof, -""e",the train station
868,"der bahnsteig, -e",the train station platform
869,"der bahnübergang, -""e",the railroad crossing
870,"der balkon, -e",the balcony
871,"der ball, -""e",the ball (object or dance)
872,"der balletttänzer, -",the ballet dancer
873,"der bankdirektor, -en",the bank manager
874,"der bankkaufmann, -""er",the bank clerk
875,"der bär, -en, -en",the bear
876,"der bart, ""-e",the beard
877,"der bauch, -""e","the abdomen, the stomach (not the organ)"
878,"der bauer, -n, -n",the farmer (1)
879,"der bauernhof, -""e",the farm (1)
880,"der baum, -""e",the tree
881,"der bausparvertrag, -""e",the home savings plan
882,"der baustil, -e",the building style
883,"der beamter, -",the civil servant
884,"der beauftragte, -n",the representative/the commissioner
885,"der becher, -","the beaker, the cup"
886,der beginn,the beginning (no plural)
887,"der begleittext, -e",the sleeve notes/ accompanying text
888,"der beistelltisch, -e","the end table, the side table"
889,"der bekannter, -",the acquaintance (male)
890,"ein bekannter, -",an acquaintance
891,"der berg, -e",the mountain
892,"der bericht, -e",the report
893,"der beruf, -e",the profession
894,"der beschäftigte, -n",the employee
895,"der besuch, -e",the visit
896,"der besucher, -",the visitor
897,"der betrieb, -e",the company
898,"der bh, -s",the bra
899,"der bierbauch, -""e",the beer belly
900,"der biergarten, -""",the beer garden
901,"der bildschirm, -e","the monitor, the screen"
902,"der bizeps, -e",the biceps
903,"der bleistift, -e",the pencil
904,"der blick, -e",the glance;  look; gaze; view
905,"der blindenhund, -e","the seeing-eye dog, the guide dog"
906,"der blumenhändler, -",the male florist
907,"der boden, -""",the ground / land / soil / floor
908,der bodensee,the lake constance
909,"der börsenbericht, -e",the stock market report
910,"der brand, -""e",the fire (2)
911,"der braten, -","the roast meat, the roast"
912,"der bräutigam, -e",the bridegroom
913,"der brief, -e",the letter (correspondence)
914,"der brieffreund, -e",the pen pal
915,"der briefkasten, -""",the postbox / mailbox
916,"der briefträger, -",the postman / mailman
917,"der brokkoli, -s",the broccoli
918,"der bruder, -""",the brother
919,"der brunch, -es",the brunch
920,"der buchdruck, -""e",the letterpress printing
921,"der buchenwald, -""er",the beech forest
922,"der buchhalter, -",the bookkeeper /accountant
923,"der buchstabe, -n, -n",the letter (alphabetical)
924,"der bulle, -n, -n",the bull
925,"der bundeskanzler, -",the federal chancellor
926,der bundestag,the german parliament (no plural)
927,"der bürger, -",the citizen
928,"der bürgersteig, -e","the pavement, the sidewalk"
929,"der bürokaufmann, -""er",the office administrator
930,"der bus, -se",the bus / coach
931,"der busch, -""e",the bush
932,"der büstenhalter, -",the brassière
933,der camembert,the camembert (cheese) (no plural)
934,"der campingplatz, -""e","the campground, the campsite"
935,"der campus, -",the campus
936,"der cappuccino, -s",the cappuccino
937,"der cd-spieler, -",the cd-player
938,"der cent, -",the cent
939,der champagner,the champagne (no plural)
940,"der champignon, -s",the button mushroom
941,"der charakter, -e",the character
942,der cheddar,the cheddar (no plural)
943,"der chef, -s",the male boss
944,"der chor, -""e",the choir
945,"der computer, -",the computer
946,"der couchtisch, -e",the coffee table
947,"der dachboden, -""",the attic
948,"der damm, -""e",the dam
949,"der dampf, -",the steam (no pl)
950,der dank,the thanks (no plural)
951,"der daumen, -",the thumb
952,"der designer, -",the designer
953,"der detektiv, -e",the detective
954,der deutscher,the german (man)
955,"der dezember, -",december
956,"der dialekt, -e",the dialect
957,"der dialog, -e",the dialogue
958,"der dieb, -e",the male thief
959,"der diebstahl, -""e",the theft
960,"der dienstag, -e",tuesday
961,"der direktor, -en",the director
962,"der dokumentarfilm, -e",the documentary film
963,"der dollar, -s",the dollar
964,"der dom, -e","the cathedral, the dome"
965,der donner,the thunder (no plural)
966,"der donnerstag, -e",thursday
967,"der dosenöffner, -",the can opener
968,"der drucker, -",the printer
969,"der dummkopf, -""e","the dimwit, idiot, fool"
970,"der durchschnitt, -e",the average
971,der durst,the thirst (no plural)
972,"der d-zug, -""e",the express train (arch.)
973,"der fachmann, -""er","the expert, the specialist"
974,"der ehemann, -""er",the husband
975,"der eimer, -",the bucket
976,"der einbrecher, -",the male burglar
977,"der eindruck, -""e",the impression
978,"der einfluss, -""e",the influence
979,"der eingang, -""e",the entrance to a building
980,"der einkaufswagen, -",the shopping cart
981,"der eintritt, -e",the admission (entry)
982,"der einwanderer, -",the immigrant (1)
983,"der einwohner, -",the inhabitant
984,der eiserne vorhang,the iron curtain (no plural)
985,"der elefant, -en, -en",the elephant
986,"der elektriker, -",the electrician (1)
987,"der elektroherd, -e",the electric stove/cooker
988,"der elektroinstallateur, -e",the electrician (2)
989,"der ellbogen, -",the elbow
990,"der emigrant, -en, -en",the emigrant (2)
991,"der empfang, -""e",the reception (tv signal or hotel desk)
992,"der enkel, -","the grandson, the grandchild"
993,"der entwurf, -""e",the design
994,"der erfolg, -e",the success
995,"der erwachsener, -",the male adult
996,"der erzähler, -",the male narrator
997,"der erzbischof, -""e",the archbishop
998,"der erziehungsurlaub, -e",the parental leave
999,"der esel, -",the donkey
1000,"der essig, -e",the vinegar
1001,"der esslöffel, -",the tablespoon (15ml)
1002,"der euro, -s",the euro
1003,"der europäer, -",the male european
1004,"der experte, -n, -n",the male expert
1005,"der fahrer, -",the male driver
1006,"der fahrgast, -""e",the passenger (automotive)
1007,"der fahrkartenschalter, -","the booking office, the ticket counter"
1008,"der fahrplan, -""e",the train or bus timetable
1009,"der fahrradhelm, -e",the bicycle helmet
1010,"der fahrradverleih, -e",the bike rental
1011,"der fall, -""e","the case, the instance; the fall"
1012,"der familienname, -n, -n",the surname
1013,"der farbfernseher, -",the colour television
1014,"der farmer, -",the farmer (2)
1015,"der faschingsdienstag, -e","shrove tuesday, mardi gras (term used in southern germany and austria)"
1016,"der februar, -e",february
1017,"der federball, -""e",1. badminton (no plural) 2. the shuttlecock
1018,"der fehler, -","the mistake, the error"
1019,"der feierabend, -e",the end of the work day
1020,"der feiertag, -e","the holiday, day off"
1021,"der fels, -en, -en","the rock, (a mass or area of unworked stone)"
1022,"der fensterladen, -""",the shutter
1023,"der ferienjob, -s",the summer [vacation] job
1024,"der fernseher, -",the television (set)
1025,"der festtag, -e",the holiday / special day
1026,"der feuerwehrmann, -""er",the fireman
1027,"der film, -e",the film
1028,"der filmstar, -s",the filmstar
1029,"der filzstift, -e",the felt-tip pen
1030,"der finger, -",the finger
1031,"der fingernagel, -""",the fingernail
1032,"der fisch, -e",the fish
1033,"der fitnessfreak, -s",the fitness freak
1034,"der fleck, -en","the stain, mark, spot"
1035,"der fleischer, -",the butcher
1036,"der flug, -""e",the flight
1037,"der flugbegleiter, -",the male flight attendant
1038,"der flughafen, -""",the airport
1039,"der flugplatz, -""e",the airfield
1040,"der flur, -e","1. the hall, the corridor  2. the plot (of land)"
1041,"der fluss, -""e",the river
1042,"der föhn, -e",the blow dryer
1043,"der fortschritt, -e",the improvement; the forward step
1044,"der fotoapparat, -e",the camera (1)
1045,"der fotograf, -en, -en",the photographer
1046,"der franken, -",the franc (former french currency)
1047,"der freitag, -e",friday
1048,"der fremdenführer, -",the tourist guide
1049,"der freund, -e","the male friend, the boyfriend"
1050,"der freundeskreis, -e",the circle of friends
1051,der frieden,the peace (no plural)
1052,"der friseur, -e",the male hair stylist / hairdresser
1053,"der frisör, -e",the male hairdresser / stylist
1054,"der frühling, -e",the spring (season)
1055,"der fuchs, -""e",the fox
1056,"der führerschein, -e",the driving license
1057,"der füller, -",the fountain pen
1058,"der fuß, -""e",the foot
1059,"der fußball, -""e",the football
1060,"der fußboden, -""",the floor
1061,"der fußgänger, -",the pedestrian
1062,"der fußgängerüberweg, -e","the crosswalk, the pedestrian crossing"
1063,"der fußweg, -e",the footpath
1064,"der gang, -""e","the course, the passage"
1065,"der garten, -""",the garden
1066,"der gärtner, -",the male gardener
1067,"der gasherd, -e","the gas cooker, the gas stove"
1068,"der gast, -""e",the guest
1069,"der gastgeber, -",the host
1070,"der gasthof, -""e",the inn
1071,"der gebildeter, -",the educated person
1072,"der geburtsort, -e",the birthplace
1073,"der geburtstag, -e",the birthday
1074,"der geiger, -",the male violinist
1075,"der schatz, -""e","the treasure, the darling"
1076,"der geldschein, -e",the banknote
1077,"der gemüsehändler, -",the greengrocer
1078,"der general, -""e",the general
1079,"der geschäftsmann, -""er",the businessman
